Red	Green	Blue
12	34	36
54	37	26
155	173	188
27	25	24
117	61	22
6	6	4
173	215	223
101	95	86
125	102	70
165	79	27
127	124	115
57	61	57
31	19	13
163	155	144
67	48	34
213	120	33
98	80	66
177	144	111
124	144	150
103	69	46
17	66	53
156	140	63
51	49	44
33	149	137
87	102	45
219	188	160
71	73	67
35	32	30
77	62	51
23	103	92
238	206	134
31	6	4
21	18	18
206	163	128
24	28	5
118	109	97
225	179	75
195	194	185
214	211	203
247	246	240
45	50	13
15	6	4
86	58	35
232	227	217
7	66	125
95	111	108
10	13	11
149	120	94
89	39	23
179	173	162
49	13	7
6	38	83
147	138	126
240	219	181
42	28	19
126	83	51
94	206	197
153	101	64
142	28	21
19	13	10
191	120	84
80	87	82
39	40	39
71	25	11
